teams	1
15	015	9	**(**)	Beijing University of Chemical Technology		CHN
1	001	3	每天起床第一句先给自己打个气(ABTU)	Aba Teachers College	ABTC	CHN
34	034	3	教练去哪儿(Triple Killed)	Changzhou University	CCZU	CHN
40	040	3	One Minute Lost(One Minute Lost)	Dalian University of Technology	DLUT	CHN
51	051	3	谜(NEU_Enigma)	Northeastern University (China)	NEU	CHN
58	058	3	小白兔白了又白白了又白(the coooooooooolest rabbit)	Northeast Forestry University	NEFU	CHN
61	061	3	绯色月下(Lunatic Moonlight)	Northeast Normal University	NENU	CHN
68	068	3	大哥哥我很好(no response)	Fujian University of Technology		CHN
71	071	7	小小(xiao xiao)	Fujian Normal University	FJNU	CHN
85	085	3	这是一个不会起名字的水队(A Water H2O)	Guizhou University	GZU	CHN
141	141	3	紫米面包(Zimi)	JiangNan University		CHN
276	276	3	迭代器(Iterator)	Northwest A&F University		CHN
151	151	3	星星之火(Sparks of fire)	Ludong University	LDU	CHN
161	161	3	白鸟(Biznaguita)	Nanjing Tech University	NJTECH	CHN
136	136	3	起个队名吧(Unnamed-1)	Huazhong University of Science & Technology	HUST	CHN
353	353	3	江浙闽(HK Coder)	Renmin University of China	RUC	CHN
308	308	3	Helianthus(Helianthus)	Zhejiang University	Zhejiang U	CHN
88	088	3	梦想探险家(Dream Explorers)	Guizhou University of Engineering Science	GUES	CHN
96	096	3	米库米库(mikumiku)	Harbin Engineering University	HEU	CHN
104	104	3	湖畔青年(HZIEE_New)	Information Engineering College of Hangzhou Dianzi University		CHN
107	107	7	小猪佩齐(penta kill)	Hohai University		CHN
157	157	3	Calabash!(Calabash!)	Nanjing University	NJU	CHN
45	045	3	UESTC_摸鱼(UESTC_moyu)	University of Electronic Science and Technology of China	UESTC	CHN
111	111	3	菜鸡三人行(Four Angry Men)	Henan University		CHN
251	251	3	Chaos(Chaos)	Xi'an Jiaotong University	XJT U	CHN
112	112	3	The Avengers(The Avengers)	Henan Polytechnic University	HPU	CHN
115	115	3	复仇者(Revengers)	Hubei University of Technology		CHN
119	119	3	疾风不打铁队(The blast does not hit the iron team)	Hunan University of Technology		CHN
289	289	9	Beat Yiquan(Beat Yiquan)	Hong Kong University of Science and Technology	HKUST	HKG
344	344	3	中科大十六队(USTC_16)	University of Science and Technology of China	Univ. of Sci. & Tech	CHN
177	177	3	他们来了(They are)	Ningbo University	NBU	CHN
211	211	3	无人艇(Unmanned ship)	Shanghai University	SHU	CHN
186	186	3	冠军杜老师没跑(Champion dls did not run)	Tsinghua University	Tsinghua	CHN
215	215	3	人类智慧(Manual/Intelligence)	Shanghai Jiao Tong University	SJTU	CHN
29	029	3	阿訇念经，嘤嘤嘤嘤(Akhund read the Koran, (ying){4})	Beijing University of Posts and Telecommunications	BUPT	CHN
368	368	3	中山大学_气球一元一个(SYSU_Balloon)	Zhongshan (Sun Yat-sen) University	Zhongshan U	CHN
20	020	3	小欧爱吃酱肘子(1e9+7)	Beijing Institute of Technology	BIT	CHN
337	337	3	只有签到题能(Tourists)	Communication University of China	CCom U	CHN
342	342	3	微阳(Sunrise)	Ocean University of China	OUC	CHN
349	349	3	嘤捶死停(interesting)	China University of Mining and Technology	CUMT	CHN
359	359	3	ALPC_For_Love(ALPC_For_Love)	National University of Defense Technology	NUDT	CHN
373	373	3	凌重龙皇异次元(splash)	Chongqing University	CQU	CHN
362	362	3	我为祖国献石油(Fumino is number one)	China University of Petroleum, Beijing	CUP	CHN
56	056	3	我RE，我快乐(happy_with_RE)	Northeastern University at Qinhuangdao	NEUQ	CHN
94	094	3	灬言梦小队灬(MTsakuraTM)	Guizhou Education University	GEU	CHN
113	113	3	The Last Supper(The Last Supper)	Henan Polytechnic University	HPU	CHN
109	109	3	铁匠铺(we don't AC anymore)	Hohai University		CHN
53	053	3	辉耀(NEU_Radiance)	Northeastern University (China)	NEU	CHN
59	059	9	有备而来(youbeierlai)	Northeast Forestry University	NEFU	CHN
86	086	3	华哥哥带我们飞(hggdwmf)	Guizhou University	GZU	CHN
91	091	3	Gznu2(Gznu2)	Guizhou Normal University	GZNU	CHN
105	105	3	bi u(biu)	Hangzhou Normal University		CHN
118	118	3	岳麓幻想物语(Yuelu Fancy)	Hunan University	Hunan University	CHN
132	132	3	没人想队名(SCAU_noname)	South China Agricultural University	SCAU	CHN
46	046	3	UESTC_绵中三轮车(UESTC_MzTricycle)	University of Electronic Science and Technology of China	UESTC	CHN
273	273	3	水个牌子(NPU_water_a_medal)	Northwestern Polytechnical University	NWPU	CHN
123	123	3	Everest(Everest)	East China Jiaotong University		CHN
137	137	3	The 120th Anniversary Celebrates(The 120th Anniversary Celebrates)	Huazhong Agricultural University	HZAU	CHN
144	144	3	氪金变强(JXNU)	Jiangxi Normal University		CHN
149	149	3	大漠苍狼2号战队(GrayWolf02)	Lanzhou Jiaotong University		CHN
154	154	3	南方科技大学_加法(SUSTech_Addition)	Southern University of Science and Technology	SUST	CHN
162	162	3	起于结束，终于开始(Lying On the Keyboard)	Nanjing Tech University	NJTECH	CHN
168	168	3	全体起立(All Rise)	Nanjing Xiaozhuang University	NJXZU	CHN
176	176	3	稻花香里说丰年(Hear the sound of wa)	Nanyang Normal University	NYNU	CHN
80	080	3	夜幕灯塔(BEACON AT NIGHT)	Guangdong University of Technology	GDUT	CHN
179	179	3	梦想之源(D&S)	NingXia University	NingXia University	CHN
167	167	3	不图不挂素质游戏(OEIS)	Nanjing University of Science and Technology	NUST	CHN
184	184	3	TLE没门(FightForMedal)	Qinghai University	QHU	CHN
191	191	3	猎户座(Orion)	Shandong University of Finance and Economics	SDUFE	CHN
196	196	3	咕咕咕(GU GU GU)	Shandong University at Weihai		CHN
205	205	3	至诚至博(SUST_1)	Shaanxi University of Science and Technology		CHN
21	021	3	肥宅大哭.jpg(fatty newbie)	Beijing Institute of Technology	BIT	CHN
198	198	3	光明号(SKD62497 Akira)	Shandong University of Science and Technology	SDUST	CHN
125	125	3	acm.ecnu.edu.cn(F0RE1GNERS)	East China Normal University	ECNU	CHN
218	218	3	云之彼端·梦中降生(KUMONOMUKÔ_BIRTHBYSLEEP)	ShanghaiTech University	ShanghaiTech	CHN
72	072	9	萌新(newbie)	Fuzhou University	Fuzhou U	CHN
354	354	3	心中没有B树(NO B-Trees in our Hearts)	Renmin University of China	RUC	CHN
219	219	3	Mr Zhou想吃红烧肉(Autistic automation machine)	University of Shanghai for Science and Technology	USST	CHN
220	220	3	自闭小分队(Mr. Selfclose)	Sichuan University	Sichuan U	CHN
228	228	3	A云(ACloud)	Taiyuan University of Technology		CHN
128	128	3	今天也要加油鸭(GoAheadDuck)	South China University of Technology	South China UT	CHN
232	232	3	小奶狗(puppy)	Renai College of Tianjin University		CHN
5	005	3	c++11(c++11)	Peking University	Peking U	CHN
291	291	3	誒射能特(ACellent)	The Chinese University of Hong Kong	CUHK	HKG
10	010	3	小黄鸡咕咕咕(Ascender)	Beihang University	BUAA	CHN
252	252	3	csfnb(csfnb)	Xi'an Jiaotong University	XJT U	CHN
110	110	3	猪肘子我正在煮(zzzwzzz)	Hohai University		CHN
6	006	3	FaFaTa(FaFaTa)	Peking University	Peking U	CHN
114	114	3	Try a Try,AC is OK(Try a Try,AC is OK)	Henan Polytechnic University	HPU	CHN
116	116	7	对对对(deideidei)	Hunan University	Hunan University	CHN
120	120	3	打CF不如打CF(CF is better than CF)	Hunan Normal University		CHN
134	134	3	我想吃羊肉泡馍biangbiang面肉夹馍凉皮臊子面胡辣汤粉蒸肉饸饹面(Eating Keyboard)	Huazhong University of Science & Technology	HUST	CHN
129	129	3	这是我们第四次来西安了(I have a classmate named Lanling)	South China University of Technology	South China UT	CHN
139	139	3	黑框眼镜(Black-rimmed glasses)	Jilin University	Jilin U	CHN
